,index,Name1,Name2,Street1,Street2,City,State,Zip,Phone,Intake1,Intake2,Intake1a,Intake2a,Service_code_info,lat,long
18,18,UAB Hospital,Center for Psychiatric Medicine,619 19th Street South,,Birmingham,AL,35249,205-975-2710,205-934-7008,,,,SA MH SUMH * HI OP * PSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH TRIFL ARIPI ASENA CLOZA LURAS OLANZ PALIP QUETI NRT NSC ANTPYCH * AT CBT CFT ECT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE GL CO TRMA ALZ PED PTSD SED SMI * STU * MST LABT * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH SP * VPPD * ACT CDM COOT DEC FPSY ICM IMR PRS SEMP CM IPC SPS,14.4866914,121.0214161
19,19,West Alabama Mental Health Center,,401 Rodgers Street,,Butler,AL,36904,205-459-2612,800-239-2901,334-289-2410,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS PEER * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS,32.09417401978022,-88.20972957912088
20,20,Hamilton Center,,151 Hamilton Lane,,Calera,AL,35040,205-651-0077,,,,,SA MH SUMH * OP PHDT RES * MSMH * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * STG * CLF MC MD PI SCJJ SF SMHA * SS * STU * HS PEER * SMPD * YAD ADLT SNR * AH * VPPD * COOT FPSY SEMP SH CM SPS,33.11428444865771,-86.75224830872483
21,21,Cherokee Etowah Dekalb CMHC,Cherokee County Office,200 Dean Buttram Senior Avenue,,Centre,AL,35960,256-927-3601,,,,,SA MH SUMH * OP * CMHC * FLUPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTN * CMHG MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * TBS * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT ICM CM,34.14830315064378,-85.61891683862662
22,22,Cherokee Etowah Dekalb CMHC,White/Parker Home Specialized,901 Edith Street,,Centre,AL,35960,256-927-2687,,,,,SA MH SUMH * RES * RTCA * ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * CMHG MC MD MI OSF PI SF SI SMHA VAF * CO SMI * STU * TBS * HS * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT DEC FPSY PRS VRS CM SPS ES,34.14830315064378,-85.61891683862662
23,23,AltaPointe Health Systems Inc,Community Counseling/Washington Cnty,63 Dixie Youth Drive,,Chatom,AL,36518,251-277-9173,251-450-2211,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA OLANZ OLANZF PALIP RISPE NRT ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTN * CMHG MC MD OSF PI SF SI * CO PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR SEMP CM IPC SPS,31.45917362162162,-88.25884017297298
24,24,Clanton MI Outpatient,,110 Medical Center Drive,,Clanton,AL,35045,205-651-0077,,,,,SA MH SUMH * OP * OMH * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * CLF CMHG MC MD PI SCJJ SF SMHA * SS * STU * TBS * PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY SH VRS CM SPS,32.834218969656995,-86.64011062005277
25,25,WellStone Inc,,1909 Commerce Avenue NW,,Cullman,AL,35055,256-734-4688,256-255-1020,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP PERPH ARIPI CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * LCCG * CLF CMHG CSBG FG MC MD MI PI SCJJ SEF SF SI SMHA SWFS * PA SS * SED SMI * STU * HS PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * AOT COOT FPSY ICM PRS SH CM SPS,34.16670735305466,-86.81498542057878
26,26,East Pointe Hospital,,7400 Roper Lane,,Daphne,AL,36526,251-378-6500,251-450-2211,,,,SA MH SUMH * HI PHDT RES * PSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA OLANZ OLANZF PALIP RISPE NRT ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTN * CMHG MC MD OSF PI SF SI * SE CO PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR SEMP CM IPC SPS,30.6251952,-87.88711746122449
27,27,Health Connect America,,801 Church Street NE ,Suite 6,Decatur,AL,35601,256-274-8222,,,,,SA MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * CIT * PVTP * MD PI SF SWFS * SS * TAY GL VET ADM CJ CO DV TRMA PED PEFP PTSD SED * STU * TCC * SMPD * CHLD YAD ADLT * AH * VPPD * FPSY TPC SPS,34.59314091548452,-86.99016746303697
28,28,MHCNCA Inc,Decatur Morgan Counseling Center,4110 U.S. Highway 31 South,,Decatur,AL,35603,256-260-1691,800-365-6008,256-355-5904,,,MH SUMH * OP PHDT * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * TAY SE CJ CO SMI * STU * SMPD * YAD ADLT SNR * AH * VPPD * ACT COOT FPSY CM,34.549257029497355,-86.9871081521164
29,29,MHCNCA Inc,The Albany Clinic for Children,1315 13th Avenue SE,,Decatur,AL,35601,256-260-7306,256-355-5904,800-365-6008,,,MH SUMH * OP PHDT * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IPT TELE AIM * PVTN * CLF CMHG CSBG MD OSF PI SCJJ SF SI SMHA SWFS * CO SED * STU * PEER * SMON * CHLD * AH * VAPN * COOT FPSY CM,34.59314091548452,-86.99016746303697
30,30,Bryan W Whitfield Memorial Hosp Inc,Detox,105 U.S. Highway 80 East,,Demopolis,AL,36732,334-287-2815,334-212-2220,,,,SA MH SUMH * HI * CBHC IPSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH ARIPI BREXP CARIP CLOZA OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IPT TELE AIM * CIT PEON WI * LCCG PVTP * FQHC * CLF CMHG CSBG ITU MC MD MI OSF PI PCF SCJJ SF SI SMHA VAF * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * AOT CDM COOT IMR PRS CM IPC SPS ES,32.4972782152439,-87.84238547987805
31,31,West Alabama Mental Health Center,,1215 South Walnut Avenue,,Demopolis,AL,36732,334-289-2410,800-239-2901,,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS,32.4972782152439,-87.84238547987805
32,32,West Alabama Mental Health Center,,1401 U.S. Highway 80 East,,Demopolis,AL,36732,334-217-0010,800-239-2901,334-289-2410,,,MH * OP PHDT * RTCA * CBT GT IPT TELE * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * PEER * SMON * YAD ADLT SNR * AH * VAPN * COOT ICM PRS SEMP SH CM SPS,32.4972782152439,-87.84238547987805
33,33,West Alabama Mental Health Center,Springhill Home,1304 Old Springhill Road,,Demopolis,AL,36732,334-289-3270,800-239-2901,334-289-2410,,,MH * RES * RTCA * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT GT IDD IPT TELE AIM * PVTN * FQHC * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * SMI * HS PEER * SMON * YAD ADLT SNR * AH * VAPN * COOT ICM PRS SEMP SH CM SPS,32.4972782152439,-87.84238547987805
34,34,Central Alabama VA Healthcare System,Dothan Mental Health Clinic,3753 Ross Clark Circle,Suite 4,Dothan,AL,36303,334-503-7819 x47801,,334-503-7881 x47802,,,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IPT TELE * CIT WI * FED VAMC * FQHC * MI PI SF VAF * SE GL VET CJ CO HV DV TRMA TBI PTSD SMI * STU * HIVT STDT TBS MST LABT * HS PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM DEC FPSY IMR LAD SEMP VRS IPC SPS ES,31.252052755040324,-85.40942699425403
35,35,Laurel Oaks Behavioral Health Center,,700 East Cottonwood Road,,Dothan,AL,36301,334-794-7373 x237,334-794-7373,866-320-3613,,,MH SUMH * HI RES * PSY * CHLOR HALOP OLANZ ANTPYCH * AT CBT CFT DBT GT IDD IPT * WI * PVTP * CLF MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * MF TRMA PTSD SED * LABT * HS * SMON * CHLD * AH SP * VAPN * CDM FPSY ICM PRS CM IPC SPS ES,31.18645965350993,-85.40209919324504
36,36,Southeast Alabama Medical Center,Behavioral Medicine Center,1108 Ross Clark Circle,Suite 702,Dothan,AL,36301,334-793-8111 x5482,334-793-8800,,,,SA MH * HI OP * IPSY * CHLOR HALOP ARIPI OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * AT DBT GT IPT * PEON * PVTN * MC MD MI PI SCJJ SF SI VAF * TAY SE GL VET ADM MF CJ CO HV TRMA ALZ PED PTSD SMI * STU * SMON * YAD ADLT SNR * VAPN * COOT CM ES,31.18645965350993,-85.40209919324504
37,37,SpectraCare,Middleton RSC Home,2694 South Park Avenue,,Dothan,AL,36301,334-792-3202,,,,,SA MH * RES * RTCA * CHLOR HALOP ARIPI CLOZA OLANZ QUETI RISPE ANTPYCH * AT CBT GT IPT * PVTN * MC MD PI SF SI * HS * SMPD * YAD ADLT SNR * VPPD * COOT DEC CM ES,31.18645965350993,-85.40209919324504
38,38,SpectraCare Health Systems,Adult Outpatient Program,1672 Columbia Highway,,Dothan,AL,36302,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA SWFS VAF * SS * SE VET ADM MF CJ CO TRMA PED PTSD SMI * STU * PEER * SMPD * YAD ADLT SNR * AH * VPPD * ACT COOT FPSY ICM PRS SH CM SPS,31.25182445,-85.36387615
39,39,SpectraCare Health Systems,Childrens Outpatient Services,440 Honeysuckle Road,,Dothan,AL,36305,334-712-2720,,,,,MH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT GT IPT TELE * CIT PEON * PVTN * CMHG MD MI PI SF SI * PA SS * TAY MF TRMA PEFP PTSD SED * STU * PEER * TCC * SMPD * CHLD YAD * AH SP * VPPD * FPSY CM SPS,31.221576263179916,-85.46839542635983
40,40,SpectraCare Health Systems,Houston County Day Treatment,134 Prevatt Road,,Dothan,AL,36303,800-951-4357,,,,,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA * SS * SE CO SMI * SMPD * YAD ADLT SNR * AH * VPPD * ACT FPSY PRS VRS CM ES,31.252052755040324,-85.40942699425403
41,41,SpectraCare Health Systems,Intermediate Care Home,140 Prevatt Road,,Dothan,AL,36301,334-793-4020,334-794-0731,,,,MH * PHDT RES * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IPT TELE * PEON * PVTN * CMHG MC MD PI SF * SE VET ALZ SMI * SMPD * YAD ADLT SNR * AH * VPPD * CDM DEC FPSY IMR,31.18645965350993,-85.40209919324504
42,42,Wiregrass Wellness Center,,201 Regency Court,,Dothan,AL,36305,334-673-8869,,,,,SA MH SUMH * OP * OMH * NRT NSC * AT CBT CRT CFT DBT GT IDD IPT TMS TELE AIM * PEON WI * PVTP * MC MD PI SF SI SMHA * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * STU * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH SP FX * F28 * VPPD * ACT AOT CDM COOT DEC FPSY ICM IMR PRS CM SPS ES,31.221576263179916,-85.46839542635983
43,43,Mountain Lakes Behav Healthcare,Sue Bolt Foster Home,4884 Alabama Highway 40,,Dutton,AL,35744,256-228-3361,256-259-1774,,,,SA MH SUMH * OP RES * CHLOR HALOP ARIPI CLOZA OLANZ OLANZF QUETI RISPE NSC ANTPYCH * AT CBT GT IDD IPT * PVTN * MC MD SF SMHA * SE GL CO DV TRMA ALZ PTSD SMI * STU * TBS * SMPD * ADLT SNR * VPPD * COOT FPSY PRS CM,34.6024297,-85.90915955714286
44,44,Mountain Lakes Resid Care Home,,4886 Alabama Highway 40,,Dutton,AL,35744,256-228-9061,256-259-1774,,,,SA MH SUMH * OP RES * CHLOR HALOP ARIPI CLOZA OLANZ OLANZF QUETI RISPE NSC ANTPYCH * AT CBT GT IDD IPT * PVTN * MC MD SF SMHA * TAY SE GL CJ CO DV TRMA PTSD SMI * STU * TBS * SMPD * YAD ADLT SNR * AH * VPPD * COOT FPSY PRS CM,34.6024297,-85.90915955714286
45,45,South Central Alabama MHC,Coffee Cnty Mental Health Center,2861 Neal Metcalf Road,,Enterprise,AL,36330,334-347-0212,877-530-0002,,,,SA MH SUMH * OP PHDT * CMHC * FLUPH HALOP PERPH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CMHG MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SMI * STU * TBS MST LABT * SMOP * YAD ADLT SNR * AH * VAPP * COOT FPSY PRS SH CM SPS,31.350568629104476,-85.86742134104477
46,46,SpectraCare Health Systems,Barbour County Clinic,133 North Orange Avenue,,Eufaula,AL,36027,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SMHA SWFS VAF * SS * TAY SE GL VET ADM MF CJ CO HV ALZ PTSD SED SMI * STU * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SH CM SPS ES,31.88607690088889,-85.16753752977777
47,47,West Alabama Mental Health Center,Greene County,301 Prairie Avenue,,Eutaw,AL,35462,205-372-3106,800-239-2901,334-289-2410,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS,32.79583918333333,-87.87876999230768
48,48,Health Connect America,,115 Fairground Road,,Florence,AL,35630,256-712-2822,,,,,SA MH SUMH * OP * OMH * AT CBT CFT DBT EMDR GT IDD IPT TELE * PVTP * CLF MD OSF PI SF * TAY VET ADM TRMA PTSD * STU * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY TPC CM SPS ES,34.818332457586706,-87.66256124450867
49,49,Southern Wellness Services,,2618 Hough Road,,Florence,AL,35630,256-284-7080,,,,,SA MH SUMH * OP * OMH * CBT DBT IPT * PVTP * FQHC * MD PI SF SMHA * TBS * SMPD * CHLD YAD ADLT SNR * VPPD,34.818332457586706,-87.66256124450867
