index,Measure,12+,12-17,18-25,26+,18+,states
52,Perceptions of Great Risk from Using Cocaine Once a Month,360,29,37,294,331,Alaska
53,Heroin Use in the Past Year5,0,0,0,3,3,Alaska
54,Perceptions of Great Risk from Trying Heroin Once or Twice,469,34,50,385,434,Alaska
55,Methamphetamine Use in the Past Year,5,0,1,4,5,Alaska
56,Prescription Pain Reliever Misuse in the Past Year2,19,1,2,15,17,Alaska
57,"Opioid Misuse in the Past Year2,6",20,1,2,16,19,Alaska
59,ALCOHOL Alcohol Use in the Past Month,293,4,33,256,289,Alaska
60,Binge Alcohol Use in the Past Month7,125,2,17,105,123,Alaska
62,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,259,24,26,209,236,Alaska
63,Alcohol Use in the Past Month8 (People Aged 12 to 20),12,0,0,0,0,Alaska
64,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",8,0,0,0,0,Alaska
66,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,139,2,12,126,138,Alaska
67,Cigarette Use in the Past Month,114,1,9,104,113,Alaska
68,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,391,39,40,312,352,Alaska
70,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,26,112,138,Alaska
71,"Serious Mental Illness4,10",0,0,10,24,34,Alaska
72,Received Mental Health Services11,0,0,16,84,100,Alaska
73,"Major Depressive Episode4,12",0,14,16,42,58,Alaska
74,Had Serious Thoughts of Suicide,0,0,10,22,32,Alaska
75,Made Any Suicide Plans,0,0,3,4,7,Alaska
76,Attempted Suicide,0,0,2,2,4,Alaska
78,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",76.0,6.0,15.0,55.0,70.0,Alaska
79,"Pain Reliever Use Disorder1,3",11.0,1.0,1.0,10.0,11.0,Alaska
80,"Opioid Use Disorder1,3,4",12.0,1.0,1.0,11.0,12.0,Alaska
81,Alcohol Use Disorder1,73.0,3.0,10.0,59.0,69.0,Alaska
82,"Substance Use Disorder1,2",122.0,6.0,20.0,97.0,116.0,Alaska
83,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",58.0,5.0,15.0,38.0,53.0,Alaska
84,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,71.0,3.0,10.0,58.0,68.0,Alaska
85,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",108.0,6.0,17.0,85.0,102.0,Alaska
87,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2","1,133",63,306,764,"1,070",Arizona
88,Marijuana Use in the Past Year,"1,348",71,374,904,"1,278",Arizona
89,Marijuana Use in the Past Month,"1,108",44,304,761,"1,064",Arizona
90,Perceptions of Great Risk from Smoking Marijuana Once a Month,"1,247",121,71,"1,055","1,126",Arizona
92,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",77,22,34,21,55,Arizona
93,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",181,11,38,132,170,Arizona
94,Cocaine Use in the Past Year,83,1,27,55,82,Arizona
95,Perceptions of Great Risk from Using Cocaine Once a Month,"4,112",282,457,"3,374","3,830",Arizona
96,Heroin Use in the Past Year5,0,0,1,11,12,Arizona
97,Perceptions of Great Risk from Trying Heroin Once or Twice,"5,055",335,587,"4,133","4,720",Arizona
98,Methamphetamine Use in the Past Year,55,1,6,48,54,Arizona
99,Prescription Pain Reliever Misuse in the Past Year2,176,13,27,136,163,Arizona
100,"Opioid Misuse in the Past Year2,6",189,13,27,148,176,Arizona
102,ALCOHOL Alcohol Use in the Past Month,"2,797",41,398,"2,357","2,756",Arizona
103,Binge Alcohol Use in the Past Month7,"1,265",19,230,"1,016","1,246",Arizona
105,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"2,958",246,327,"2,385","2,712",Arizona
106,Alcohol Use in the Past Month8 (People Aged 12 to 20),141,0,0,0,0,Arizona
107,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",70,0,0,0,0,Arizona
109,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,"1,230",11,138,"1,081","1,219",Arizona
110,Cigarette Use in the Past Month,930,9,92,830,921,Arizona
111,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"4,429",386,472,"3,572","4,044",Arizona
113,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,244,970,"1,214",Arizona
114,"Serious Mental Illness4,10",0,0,85,229,314,Arizona
115,Received Mental Health Services11,0,0,130,710,840,Arizona
116,"Major Depressive Episode4,12",0,127,143,315,458,Arizona
117,Had Serious Thoughts of Suicide,0,0,88,163,251,Arizona
118,Made Any Suicide Plans,0,0,40,49,88,Arizona
119,Attempted Suicide,0,0,27,19,46,Arizona
121,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",564,59.0,158.0,346.0,504.0,Arizona
122,"Pain Reliever Use Disorder1,3",110,8.0,10.0,92.0,102.0,Arizona
123,"Opioid Use Disorder1,3,4",123,8.0,11.0,103.0,115.0,Arizona
124,Alcohol Use Disorder1,646,21.0,106.0,519.0,625.0,Arizona
125,"Substance Use Disorder1,2","1,032",62.0,208.0,761.0,969.0,Arizona
126,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",479,44.0,151.0,284.0,435.0,Arizona
127,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,626,19.0,106.0,501.0,607.0,Arizona
128,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",926,63.0,195.0,668.0,863.0,Arizona
130,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",281,13,62,206,268,Arkansas
131,Marijuana Use in the Past Year,393,23,97,274,370,Arkansas
132,Marijuana Use in the Past Month,233,12,60,162,221,Arkansas
133,Perceptions of Great Risk from Smoking Marijuana Once a Month,649,69,34,547,581,Arkansas
135,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",24,8,12,4,17,Arkansas
136,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",80,5,12,63,75,Arkansas
137,Cocaine Use in the Past Year,34,1,8,25,33,Arkansas
138,Perceptions of Great Risk from Using Cocaine Once a Month,"1,816",130,192,"1,494","1,686",Arkansas
139,Heroin Use in the Past Year5,0,0,1,10,10,Arkansas
140,Perceptions of Great Risk from Trying Heroin Once or Twice,"2,112",147,239,"1,727","1,966",Arkansas
141,Methamphetamine Use in the Past Year,35,0,1,33,35,Arkansas
142,Prescription Pain Reliever Misuse in the Past Year2,99,4,12,83,95,Arkansas
143,"Opioid Misuse in the Past Year2,6",109,4,11,93,105,Arkansas
145,ALCOHOL Alcohol Use in the Past Month,982,16,141,825,966,Arkansas
146,Binge Alcohol Use in the Past Month7,515,8,87,421,507,Arkansas
148,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"1,114",105,116,893,"1,009",Arkansas
149,Alcohol Use in the Past Month8 (People Aged 12 to 20),46,0,0,0,0,Arkansas
150,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",27,0,0,0,0,Arkansas
152,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,654,8,65,582,647,Arkansas
153,Cigarette Use in the Past Month,509,4,37,467,505,Arkansas
154,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"1,591",160,188,"1,243","1,431",Arkansas
156,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,100,424,524,Arkansas
157,"Serious Mental Illness4,10",0,0,39,110,148,Arkansas
158,Received Mental Health Services11,0,0,57,335,392,Arkansas
159,"Major Depressive Episode4,12",0,45,53,141,194,Arkansas
160,Had Serious Thoughts of Suicide,0,0,45,69,113,Arkansas
161,Made Any Suicide Plans,0,0,17,17,34,Arkansas
162,Attempted Suicide,0,0,9,12,21,Arkansas
164,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",219.0,14.0,43.0,162.0,205.0,Arkansas
165,"Pain Reliever Use Disorder1,3",52.0,3.0,3.0,47.0,50.0,Arkansas
166,"Opioid Use Disorder1,3,4",61.0,3.0,4.0,54.0,59.0,Arkansas
167,Alcohol Use Disorder1,238.0,8.0,43.0,187.0,230.0,Arkansas
168,"Substance Use Disorder1,2",385.0,17.0,78.0,290.0,368.0,Arkansas
169,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",169.0,14.0,39.0,116.0,155.0,Arkansas
170,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,236.0,9.0,42.0,185.0,228.0,Arkansas
171,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",307.0,16.0,69.0,222.0,291.0,Arkansas
173,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2","5,207",215,"1,123","3,869","4,993",California
174,Marijuana Use in the Past Year,"6,886",316,"1,541","5,028","6,569",California
175,Marijuana Use in the Past Month,"4,704",161,"1,030","3,513","4,543",California
176,Perceptions of Great Risk from Smoking Marijuana Once a Month,"7,974",699,588,"6,687","7,275",California
178,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",401,102,167,132,299,California
179,"Illicit Drug Use Other Than Marijuana in the Past Month1,2","1,363",49,169,"1,145","1,314",California
180,Cocaine Use in the Past Year,662,3,180,480,659,California
181,Perceptions of Great Risk from Using Cocaine Once a Month,"20,806","1,635","2,266","16,905","19,170",California
182,Heroin Use in the Past Year5,0,0,5,99,103,California
183,Perceptions of Great Risk from Trying Heroin Once or Twice,"26,701","1,843","3,128","21,729","24,858",California
184,Methamphetamine Use in the Past Year,421,3,23,394,418,California
185,Prescription Pain Reliever Misuse in the Past Year2,"1,054",54,135,865,"1,000",California
186,"Opioid Misuse in the Past Year2,6","1,116",54,129,933,"1,062",California
188,ALCOHOL Alcohol Use in the Past Month,"15,040",196,"1,769","13,075","14,844",California
189,Binge Alcohol Use in the Past Month7,"6,804",126,"1,107","5,570","6,677",California
191,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"15,851","1,471","1,768","12,611","14,380",California
192,Alcohol Use in the Past Month8 (People Aged 12 to 20),652,0,0,0,0,California
193,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",386,0,0,0,0,California
195,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,"4,306",58,460,"3,788","4,247",California
196,Cigarette Use in the Past Month,"3,671",46,364,"3,261","3,625",California
197,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"24,007","2,102","2,716","19,188","21,905",California
199,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,"1,330","5,516","6,846",California
200,"Serious Mental Illness4,10",0,0,479,"1,351","1,830",California
201,Received Mental Health Services11,0,0,570,"3,776","4,346",California
202,"Major Depressive Episode4,12",0,613,816,"1,685","2,501",California
203,Had Serious Thoughts of Suicide,0,0,558,977,"1,535",California
204,Made Any Suicide Plans,0,0,206,233,439,California
205,Attempted Suicide,0,0,120,91,212,California
207,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2","2,729",194.0,666.0,"1,868","2,535",California
208,"Pain Reliever Use Disorder1,3",504,36.0,59.0,410,469,California
209,"Opioid Use Disorder1,3,4",521,36.0,60.0,426,485,California
210,Alcohol Use Disorder1,"3,650",103.0,608.0,"2,940","3,547",California
211,"Substance Use Disorder1,2","5,362",235.0,954.0,"4,172","5,127",California
212,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7","2,327",144.0,616.0,"1,567","2,183",California
213,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,"3,371",94.0,609.0,"2,669","3,277",California
214,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7","4,817",200.0,942.0,"3,675","4,617",California
216,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",995,48,191,756,948,Colorado
217,Marijuana Use in the Past Year,"1,217",78,243,895,"1,138",Colorado
218,Marijuana Use in the Past Month,916,31,179,706,885,Colorado
219,Perceptions of Great Risk from Smoking Marijuana Once a Month,894,72,68,754,822,Colorado
221,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",62,21,25,16,41,Colorado
222,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",191,10,34,148,182,Colorado
223,Cocaine Use in the Past Year,89,2,29,59,87,Colorado
224,Perceptions of Great Risk from Using Cocaine Once a Month,"2,954",209,293,"2,451","2,744",Colorado
225,Heroin Use in the Past Year5,0,0,1,11,12,Colorado
226,Perceptions of Great Risk from Trying Heroin Once or Twice,"3,999",252,451,"3,296","3,747",Colorado
227,Methamphetamine Use in the Past Year,43,1,4,38,42,Colorado
228,Prescription Pain Reliever Misuse in the Past Year2,144,10,16,117,134,Colorado
229,"Opioid Misuse in the Past Year2,6",143,10,18,115,133,Colorado
231,ALCOHOL Alcohol Use in the Past Month,"2,704",34,332,"2,338","2,670",Colorado
232,Binge Alcohol Use in the Past Month7,"1,163",20,196,947,"1,143",Colorado
234,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"2,233",175,218,"1,840","2,058",Colorado
235,Alcohol Use in the Past Month8 (People Aged 12 to 20),127,0,0,0,0,Colorado
236,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",76,0,0,0,0,Colorado
238,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,901,11,106,784,890,Colorado
239,Cigarette Use in the Past Month,691,8,70,612,683,Colorado
240,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"3,557",289,372,"2,896","3,268",Colorado
242,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,196,923,"1,119",Colorado
243,"Serious Mental Illness4,10",0,0,64,205,269,Colorado
244,Received Mental Health Services11,0,0,132,787,919,Colorado
245,"Major Depressive Episode4,12",0,104,121,317,438,Colorado
246,Had Serious Thoughts of Suicide,0,0,78,179,257,Colorado
247,Made Any Suicide Plans,0,0,23,46,69,Colorado
248,Attempted Suicide,0,0,15,17,32,Colorado
250,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",514.0,41.0,112.0,362.0,474.0,Colorado
251,"Pain Reliever Use Disorder1,3",73.0,4.0,7.0,62.0,69.0,Colorado
252,"Opioid Use Disorder1,3,4",75.0,4.0,6.0,65.0,71.0,Colorado
253,Alcohol Use Disorder1,602.0,27.0,93.0,483.0,575.0,Colorado
254,"Substance Use Disorder1,2",944.0,49.0,159.0,736.0,895.0,Colorado
255,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",432.0,34.0,110.0,288.0,399.0,Colorado
256,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,584.0,21.0,93.0,469.0,562.0,Colorado
257,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",872.0,46.0,155.0,671.0,826.0,Colorado
259,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",482,24,98,360,458,Connecticut
260,Marijuana Use in the Past Year,619,27,136,455,591,Connecticut
261,Marijuana Use in the Past Month,418,13,87,318,405,Connecticut
262,Perceptions of Great Risk from Smoking Marijuana Once a Month,552,60,46,446,492,Connecticut
264,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",39,11,18,10,28,Connecticut
265,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",100,4,17,79,96,Connecticut
266,Cocaine Use in the Past Year,52,0,13,40,52,Connecticut
267,Perceptions of Great Risk from Using Cocaine Once a Month,"2,143",126,227,"1,790","2,017",Connecticut
268,Heroin Use in the Past Year5,0,0,1,8,9,Connecticut
269,Perceptions of Great Risk from Trying Heroin Once or Twice,"2,569",147,302,"2,120","2,422",Connecticut
270,Methamphetamine Use in the Past Year,16,0,2,14,16,Connecticut
271,Prescription Pain Reliever Misuse in the Past Year2,85,5,10,70,80,Connecticut
272,"Opioid Misuse in the Past Year2,6",89,5,10,74,83,Connecticut
274,ALCOHOL Alcohol Use in the Past Month,"1,748",19,221,"1,508","1,729",Connecticut
275,Binge Alcohol Use in the Past Month7,619,10,111,499,610,Connecticut
277,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"1,395",103,150,"1,143","1,293",Connecticut
278,Alcohol Use in the Past Month8 (People Aged 12 to 20),57,0,0,0,0,Connecticut
279,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",31,0,0,0,0,Connecticut
281,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,510,7,55,447,503,Connecticut
282,Cigarette Use in the Past Month,429,2,41,386,427,Connecticut
283,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"2,286",186,254,"1,846","2,100",Connecticut
285,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,123,450,573,Connecticut
286,"Serious Mental Illness4,10",0,0,38,84,122,Connecticut
287,Received Mental Health Services11,0,0,91,492,583,Connecticut
288,"Major Depressive Episode4,12",0,56,72,146,218,Connecticut
289,Had Serious Thoughts of Suicide,0,0,44,70,113,Connecticut
290,Made Any Suicide Plans,0,0,22,17,39,Connecticut
291,Attempted Suicide,0,0,9,3,12,Connecticut
293,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",231.0,19.0,64.0,147.0,211.0,Connecticut
294,"Pain Reliever Use Disorder1,3",42.0,3.0,4.0,35.0,40.0,Connecticut
295,"Opioid Use Disorder1,3,4",50.0,2.0,4.0,43.0,47.0,Connecticut
296,Alcohol Use Disorder1,320.0,8.0,63.0,250.0,312.0,Connecticut
297,"Substance Use Disorder1,2",489.0,24.0,97.0,368.0,465.0,Connecticut
298,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",194.0,16.0,61.0,118.0,178.0,Connecticut
299,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,324.0,7.0,62.0,256.0,317.0,Connecticut
300,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",460.0,18.0,92.0,350.0,442.0,Connecticut
302,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",144,7,28,109,137,Delaware
303,Marijuana Use in the Past Year,164,9,37,119,155,Delaware
304,Marijuana Use in the Past Month,128,4,26,98,124,Delaware
305,Perceptions of Great Risk from Smoking Marijuana Once a Month,166,16,9,141,150,Delaware
307,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",11,4,4,2,7,Delaware
308,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",30,1,6,23,29,Delaware
309,Cocaine Use in the Past Year,18,0,4,14,18,Delaware
310,Perceptions of Great Risk from Using Cocaine Once a Month,588,36,56,496,551,Delaware
311,Heroin Use in the Past Year5,0,0,0,7,9,Delaware
312,Perceptions of Great Risk from Trying Heroin Once or Twice,728,42,75,611,686,Delaware
313,Methamphetamine Use in the Past Year,9,0,1,8,9,Delaware
314,Prescription Pain Reliever Misuse in the Past Year2,27,2,4,21,26,Delaware
315,"Opioid Misuse in the Past Year2,6",28,2,4,22,26,Delaware
317,ALCOHOL Alcohol Use in the Past Month,433,5,52,376,428,Delaware
318,Binge Alcohol Use in the Past Month7,191,2,36,153,189,Delaware
320,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,382,32,35,315,350,Delaware
321,Alcohol Use in the Past Month8 (People Aged 12 to 20),17,0,0,0,0,Delaware
322,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",12,0,0,0,0,Delaware
324,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,168,2,15,151,166,Delaware
325,Cigarette Use in the Past Month,147,1,12,134,146,Delaware
326,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,612,45,64,502,566,Delaware
328,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,31,125,156,Delaware
329,"Serious Mental Illness4,10",0,0,12,22,34,Delaware
330,Received Mental Health Services11,0,0,20,122,143,Delaware
331,"Major Depressive Episode4,12",0,15,20,42,62,Delaware
332,Had Serious Thoughts of Suicide,0,0,13,17,31,Delaware
333,Made Any Suicide Plans,0,0,7,4,12,Delaware
334,Attempted Suicide,0,0,2,2,5,Delaware
336,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",75.0,6.0,19.0,50.0,69.0,Delaware
337,"Pain Reliever Use Disorder1,3",14.0,1.0,1.0,12.0,13.0,Delaware
338,"Opioid Use Disorder1,3,4",17.0,1.0,2.0,14.0,16.0,Delaware
339,Alcohol Use Disorder1,96.0,2.0,17.0,77.0,94.0,Delaware
340,"Substance Use Disorder1,2",147.0,7.0,29.0,111.0,140.0,Delaware
341,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",58.0,5.0,18.0,35.0,53.0,Delaware
342,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,94.0,2.0,16.0,76.0,92.0,Delaware
343,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",134.0,6.0,26.0,102.0,128.0,Delaware
345,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",133,3,26,103,130,DistrictOfCol
346,Marijuana Use in the Past Year,182,4,33,145,178,DistrictOfCol
347,Marijuana Use in the Past Month,125,4,21,100,121,DistrictOfCol
348,Perceptions of Great Risk from Smoking Marijuana Once a Month,79,8,8,63,71,DistrictOfCol
350,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",5,1,3,1,4,DistrictOfCol
351,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",26,1,4,21,26,DistrictOfCol
352,Cocaine Use in the Past Year,21,0,3,18,21,DistrictOfCol
353,Perceptions of Great Risk from Using Cocaine Once a Month,316,18,39,260,298,DistrictOfCol
354,Heroin Use in the Past Year5,0,0,0,3,3,DistrictOfCol
355,Perceptions of Great Risk from Trying Heroin Once or Twice,452,21,59,372,431,DistrictOfCol
356,Methamphetamine Use in the Past Year,4,0,0,3,3,DistrictOfCol
357,Prescription Pain Reliever Misuse in the Past Year2,18,0,2,16,18,DistrictOfCol
358,"Opioid Misuse in the Past Year2,6",17,0,2,15,17,DistrictOfCol
360,ALCOHOL Alcohol Use in the Past Month,347,2,53,292,344,DistrictOfCol
361,Binge Alcohol Use in the Past Month7,175,2,30,143,173,DistrictOfCol
363,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,249,16,28,206,233,DistrictOfCol
364,Alcohol Use in the Past Month8 (People Aged 12 to 20),13,0,0,0,0,DistrictOfCol
365,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",6,0,0,0,0,DistrictOfCol
367,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,87,1,13,72,86,DistrictOfCol
368,Cigarette Use in the Past Month,68,0,9,59,68,DistrictOfCol
369,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,428,23,56,349,405,DistrictOfCol
371,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,26,127,153,DistrictOfCol
372,"Serious Mental Illness4,10",0,0,8,18,26,DistrictOfCol
373,Received Mental Health Services11,0,0,16,98,113,DistrictOfCol
374,"Major Depressive Episode4,12",0,6,12,40,52,DistrictOfCol
375,Had Serious Thoughts of Suicide,0,0,9,17,26,DistrictOfCol
376,Made Any Suicide Plans,0,0,3,4,7,DistrictOfCol
377,Attempted Suicide,0,0,2,4,6,DistrictOfCol
379,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",62.0,2.0,16.0,44.0,60.0,DistrictOfCol
380,"Pain Reliever Use Disorder1,3",12.0,0.0,1.0,11.0,12.0,DistrictOfCol
